year,state_name,,district_name,season,crop_name,crop_type,area,production
 1998-99,Telangana,,Adilabad,Kharif     ,Arhar/Tur,Pulses,35900,12700
 1998-99,Telangana,,Adilabad,Rabi       ,Arhar/Tur,Pulses,100,100
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Arhar/Tur,Pulses,27400,9100
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Arhar/Tur,Pulses,6100,1000
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Arhar/Tur,Pulses,2100,300
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Arhar/Tur,Pulses,27100,20700
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Arhar/Tur,Pulses,200,200
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Arhar/Tur,Pulses,7600,4400
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Arhar/Tur,Pulses,5400,2000
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Arhar/Tur,Pulses,300,100
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Arhar/Tur,Pulses,23200,11600
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Arhar/Tur,Pulses,500,200
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Arhar/Tur,Pulses,8800,5000
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Arhar/Tur,Pulses,100,100
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Arhar/Tur,Pulses,26400,10000
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Arhar/Tur,Pulses,600,200
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Arhar/Tur,Pulses,49400,12000
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Arhar/Tur,Pulses,18000,6300
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Arhar/Tur,Pulses,26400,11900
 1998-99,Andhra Pradesh,,West Godavari,Kharif     ,Arhar/Tur,Pulses,200,200
 1998-99,Telangana,,Adilabad,Rabi       ,Bajra,Cereals,300,100
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Bajra,Cereals,2600,1900
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Bajra,Cereals,1700,3400
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Bajra,Cereals,4300,2400
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Bajra,Cereals,100,100
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Bajra,Cereals,200,200
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Bajra,Cereals,3000,6000
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Bajra,Cereals,500,900
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Bajra,Cereals,600,300
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Bajra,Cereals,600,300
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Bajra,Cereals,17700,16200
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Bajra,Cereals,300,300
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Bajra,Cereals,14500,5500
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Bajra,Cereals,1700,800
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Bajra,Cereals,19200,10300
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Bajra,Cereals,5000,2300
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Bajra,Cereals,17200,23800
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Bajra,Cereals,400,500
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Bajra,Cereals,1400,700
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Bajra,Cereals,2300,4200
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Bajra,Cereals,4100,4600
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Bajra,Cereals,25000,28700
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Bajra,Cereals,4100,5400
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Bajra,Cereals,500,200
 1998-99,Telangana,,Adilabad,Kharif     ,Castor Seed,Oilseeds,2100,400
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Castor Seed,Oilseeds,3200,1000
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Castor Seed,Oilseeds,200,100
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Castor Seed,Oilseeds,1400,200
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Castor Seed,Oilseeds,1000,300
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Castor Seed,Oilseeds,400,100
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Castor Seed,Oilseeds,800,300
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Castor Seed,Oilseeds,101700,20300
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Castor Seed,Oilseeds,1700,400
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Castor Seed,Oilseeds,66300,16200
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Castor Seed,Oilseeds,200,100
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Castor Seed,Oilseeds,8700,3000
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Castor Seed,Oilseeds,10500,1900
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Castor Seed,Oilseeds,100,1900
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Castor Seed,Oilseeds,5400,1200
 1998-99,Telangana,,Adilabad,Kharif     ,Cotton(Lint),Fiber Crops,162100,154400
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Cotton(Lint),Fiber Crops,14000,12900
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Cotton(Lint),Fiber Crops,7900,6300
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Cotton(Lint),Fiber Crops,193600,120700
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Cotton(Lint),Fiber Crops,24800,22900
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Cotton(Lint),Fiber Crops,84300,195800
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Cotton(Lint),Fiber Crops,88100,143100
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Cotton(Lint),Fiber Crops,41300,32500
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Cotton(Lint),Fiber Crops,153700,142000
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Cotton(Lint),Fiber Crops,93600,77100
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Cotton(Lint),Fiber Crops,22600,32300
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Cotton(Lint),Fiber Crops,112700,128600
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Cotton(Lint),Fiber Crops,20000,28500
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Cotton(Lint),Fiber Crops,62800,82400
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Dry Chillies,Spices,400,900
 1998-99,Telangana,,Hyderabad,Kharif     ,Dry Chillies,Spices,1500,3100
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Dry Chillies,Spices,4700,7200
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Dry Chillies,Spices,300,500
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Dry Chillies,Spices,10000,18100
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Dry Chillies,Spices,2000,4600
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Dry Chillies,Spices,13000,45500
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Dry Chillies,Spices,7700,16300
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Dry Chillies,Spices,9500,34600
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Dry Chillies,Spices,2700,5700
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Dry Chillies,Spices,10300,12000
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Dry Chillies,Spices,500,600
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Dry Chillies,Spices,9500,11800
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Dry Chillies,Spices,2100,4800
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Dry Chillies,Spices,8800,6000
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Dry Chillies,Spices,1200,2800
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Dry Chillies,Spices,7900,31100
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Dry Chillies,Spices,1900,4400
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Dry Chillies,Spices,1300,3100
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Dry Chillies,Spices,14400,24900
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Dry Chillies,Spices,4500,10700
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Dry Chillies,Spices,2300,2000
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Dry Chillies,Spices,600,1500
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Dry Chillies,Spices,200,800
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Dry Chillies,Spices,3100,8500
 1998-99,Andhra Pradesh,,Srikakulam,Rabi       ,Dry Chillies,Spices,3500,7300
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Dry Chillies,Spices,1300,4100
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Dry Chillies,Spices,4300,6600
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Dry Chillies,Spices,300,900
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Dry Chillies,Spices,3100,6500
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Dry Chillies,Spices,19500,44700
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Dry Chillies,Spices,11100,26800
 1998-99,Andhra Pradesh,,West Godavari,Rabi       ,Dry Chillies,Spices,5700,10700
 1998-99,Telangana,,Adilabad,Rabi       ,Gram,Pulses,2900,400
 1998-99,Andhra Pradesh,,Anantapur,Rabi       ,Gram,Pulses,26200,25900
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Gram,Pulses,1400,2700
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Gram,Pulses,100,100
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Gram,Pulses,17400,26600
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Gram,Pulses,700,100
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Gram,Pulses,100,100
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Gram,Pulses,54400,44500
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Gram,Pulses,2900,400
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Gram,Pulses,17600,2100
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Gram,Pulses,400,100
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Gram,Pulses,2600,300
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Gram,Pulses,13000,25400
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Gram,Pulses,5600,700
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Gram,Pulses,100,300
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Gram,Pulses,100,300
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Gram,Pulses,400,300
 1998-99,Telangana,,Adilabad,Kharif     ,Groundnut,Oilseeds,100,100
 1998-99,Telangana,,Adilabad,Rabi       ,Groundnut,Oilseeds,5300,6900
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Groundnut,Oilseeds,755200,867800
 1998-99,Andhra Pradesh,,Anantapur,Rabi       ,Groundnut,Oilseeds,25900,35800
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Groundnut,Oilseeds,235500,211000
 1998-99,Andhra Pradesh,,Chittoor,Rabi       ,Groundnut,Oilseeds,31100,83800
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Groundnut,Oilseeds,800,900
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Groundnut,Oilseeds,1500,2500
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Groundnut,Oilseeds,300,400
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Groundnut,Oilseeds,5900,9300
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Groundnut,Oilseeds,132300,109500
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Groundnut,Oilseeds,32000,59000
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Groundnut,Oilseeds,9300,3700
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Groundnut,Oilseeds,19900,29000
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Groundnut,Oilseeds,1700,1000
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Groundnut,Oilseeds,12100,15700
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Groundnut,Oilseeds,4000,3300
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Groundnut,Oilseeds,9100,15100
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Groundnut,Oilseeds,209100,139000
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Groundnut,Oilseeds,40100,83100
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Groundnut,Oilseeds,85800,48800
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Groundnut,Oilseeds,44600,50000
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Groundnut,Oilseeds,2100,2000
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Groundnut,Oilseeds,7700,9900
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Groundnut,Oilseeds,37200,25300
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Groundnut,Oilseeds,16800,17100
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Groundnut,Oilseeds,300,400
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Groundnut,Oilseeds,14500,33800
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Groundnut,Oilseeds,6900,5300
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Groundnut,Oilseeds,12200,18400
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Groundnut,Oilseeds,1300,600
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Groundnut,Oilseeds,7300,9400
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Groundnut,Oilseeds,5300,8800
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Groundnut,Oilseeds,17300,43100
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Groundnut,Oilseeds,38200,36000
 1998-99,Andhra Pradesh,,Srikakulam,Rabi       ,Groundnut,Oilseeds,8200,9400
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Groundnut,Oilseeds,18100,21100
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Groundnut,Oilseeds,3700,6300
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Groundnut,Oilseeds,62300,56700
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Groundnut,Oilseeds,6500,6400
